type_of_action,traveled_distance_pixel,elapsed_time,direction_of_movement,straightness,num_points,sum_of_angles,mean_curv,sd_curv,max_curv,min_curv,mean_omega,sd_omega,max_omega,min_omega,largest_deviation,dist_end_to_end_line,num_critical_points,mean_vx,sd_vx,max_vx,min_vx,mean_vy,sd_vy,max_vy,min_vy,mean_v,sd_v,max_v,min_v,mean_a,sd_a,max_a,min_a,mean_jerk,sd_jerk,max_jerk,min_jerk,a_beg_time,n_from,n_to
1,2054.274758562028,1.717,6,0.32437920577921725,1245,-43.98391979446155,0.04961336645775895,1.1250999100635803,5.961434752782944,-4.71238898038469,9.436591290495414,1813.2542886058213,6158.830312633503,-6064.516361304965,594.6014359992732,666.3640146346439,632,52.633505911196245,1374.6909367113349,3999.9999999999964,-8999.999999998992,-462.40963855421666,819.6384091792862,1000.0000000001102,-4000.0000000004407,1400.8350640423039,901.6816017524964,9219.544457291855,12.048192771084336,51302.99066868317,975937.6129482179,6219544.457290828,-7219544.45729243,42842950.760823816,1656850958.1032834,9342650082.908127,-13439088914.584738,0.084,2,1246
4,26.951532750363853,0.11199999999999988,3,0.9393891633863579,22,53.16209644789963,0.4149579449805723,1.185904834122222,3.141592653589793,-1.5707963267948966,51.8064243794766,1423.6727378838368,3141.592653590139,-3141.5926535894414,184.33541716621053,25.317977802344327,8,-880.6818181818326,981.7213819625729,0,-4000.0000000004407,122.7272727272829,304.2222229888378,1000.0000000001102,0.0,930.2263607979742,987.197575307742,4000.0000000004407,0.0,134259.77975156787,1260400.6886098408,4000000.000000881,-2061552.812808598,116219919.6377254,1632524862.829135,4000000000.001322,-3585786437.6263137,0.0009999999999998899,1247,1268
3,191.44602070479004,0.4590000000000001,3,0.21441423202441381,139,198.10019067594934,0.010805064485769119,0.6533858604488009,3.141592653589793,-2.356194490192345,-40.315203165533724,676.698800907629,1570.7963267950695,-3141.592653590139,236.2313016794664,41.048751503547585,63,-305.65640763867617,1142.4277469684425,2999.999999998998,-3000.0000000003306,27.16683795819861,426.91620377125713,1000.0000000001102,-1000.0000000001102,1065.5636370943027,656.5408293114551,3162.277660167323,0.0,91546.95364400072,706360.6376193777,2162277.660166491,-2000000.0000004407,81549990.68240198,1082053593.1030333,3162277660.165655,-3585786437.62809,0.16500000000000004,1269,2986
1,270.4334034883914,0.3490000000000002,1,0.9544611969278645,216,301.9146452990161,0.06167387622610301,0.5201852024441015,1.5707963267948966,-1.5707963267948966,-17.877504490939035,581.2911474692322,1570.796326795767,-1570.796326795767,970.0788619999211,258.11818998280614,152,96.4506172839517,284.011304470846,1000.0000000005542,0.0,844.2956349206203,423.5980438189304,2000.0000000011084,124.99999999999989,901.822675399873,410.00433426728546,2000.0000000011084,124.99999999999989,73859.16445292917,477682.841080929,1500000.0000021067,-1000000.0000011084,78224262.71867172,673141267.5066425,2249999999.997746,-2000000000.002437,0.004000000000000448,2991,3206
4,2.0,0.08699999999999974,2,1.0,4,3.141592653589793,0.7853981633974483,0.7853981633974483,1.5707963267948966,0.0,93.07478235066064,192.62584741111723,392.6990816986802,-20.39995229603763,658.0,2.0,1,0.0,0.0,0,0.0,104.16666666666427,109.58148498651614,249.99999999997203,0.0,104.16666666666427,109.58148498651614,249.99999999997203,0.0,16203.703703701105,39044.277299603295,62499.999999986016,-13888.888888882699,964506.1728384116,14186439.953055847,15624999.999994755,-12731481.48147952,0.004000000000000448,3207,3210
3,1197.6785506561828,0.9390000000000001,4,0.7102237687909656,406,138.2162553390891,0.016157811376729017,1.007188327571647,5.81953769817878,-4.71238898038469,-4.679067992166756,1189.1268286314964,6038.206644050705,-6038.206644056068,885.4531989262969,850.6197740471356,193,-2032.142857142865,3563.172623387949,1000.0000000005542,-15999.999999994658,-369.024678837067,849.2284123564935,3000.0000000016626,-2000.0000000011084,2704.3685997381567,3217.842651745672,16031.219541876046,0.0,49916.197435306545,1885212.061401148,10000000.000014637,-10999999.99999976,28860217.590642355,3286679149.725355,14999999999.989414,-20000000000.013714,0.13699999999999957,3211,3617
3,610.4896569456829,0.47799999999999976,7,0.9960080770954256,229,-3.8714923117415245,0.0014946715015852988,0.08546615886291296,0.4636476090008061,-0.5553603672697913,0.6073986144170741,141.0730097333434,785.3981633978835,-785.3981633978835,822.9550796863595,608.0526293011156,200,2507.1324599709633,1368.5639259605198,8000.000000004434,0.0,-31.441048034928336,217.77015803567696,1000.0000000005542,-1000.0000000005542,2517.179632738137,1367.6495648623477,8062.257748288696,0.0,41075.7910781724,1678376.7406461388,6000000.000008428,-7062257.748292057,40371594.37941813,2881229567.0656815,9062257748.299295,-12124515496.579624,0.005999999999998451,5955,6185
3,623.6908701020396,0.9149999999999991,1,0.9603166573970133,250,322.02286022629374,0.016162576072683853,0.3463617750622357,1.5707963267948966,-1.5707963267948966,6.298452566711215,484.67881428950494,1570.796326795767,-1570.796326795767,980.9167568310021,598.9407316254255,96,444.0000000000243,568.2628813894149,2999.999999996334,0.0,2261.904761904785,1421.0061363887912,9000.000000004988,0.0,2395.5931176661443,1383.2013951097224,9219.544457297998,0.0,47357.33083576844,1400211.8369718925,5219544.457298673,-5219544.457296507,51460060.565296546,2483047758.6624265,7123105625.622179,-10439088914.58242,0.0009999999999994458,6186,6437
3,984.2239361939737,0.5820000000000007,4,0.9720174193777062,306,332.84112350969303,0.08370461512910873,1.532297813519981,6.038206644052722,-4.71238898038469,0.7600026394907056,3538.2411964081593,6183.516654691852,-6192.525419982273,522.4417063720017,956.6828105490346,142,-2930.462184873855,2633.688267287492,0,-17000.000000009422,-362.15614450901563,613.6055867568222,1000.0000000005542,-3000.0000000016626,3020.926845558375,2627.3412429129667,17262.676501641636,0.0,48813.20081304761,2057527.5306535186,11262676.50165521,-14100398.841479318,47155715.58557144,3585884579.745524,17938121181.325138,-25363075343.148586,0.0010000000000012221,6438,6745
3,1133.4121841582325,0.6050000000000004,7,0.7559220526001181,419,-285.90629759092315,0.011236148816705035,0.6864859853593348,5.176036589385496,-4.71238898038469,11.651840184860964,792.9507105939092,5176.0365893883645,-5034.139534784122,364.57455201033076,856.7712646908742,153,1665.5176940015979,2942.632843362453,19000.000000010532,-2000.0000000011084,-876.1976410362323,976.306114890377,0,-4999.999999993889,2469.3792492366138,2654.0287973986105,19235.384061682005,0.0,48739.795280737686,1967650.3652614502,12866068.747283505,-15235384.061688231,54587613.58448313,3484309401.4740624,19297641809.946163,-25926764378.083443,0.006000000000000227,6746,7166
1,325.1302323966985,0.8470000000000013,4,0.8623021002077561,260,370.3482261240097,0.2172566152260413,2.737230683886828,5.81953769817878,-4.71238898038469,57.26260406599713,2317.0873659865324,5819.537698192343,-5819.537698192343,870.5720508567531,280.36048223670895,115,-624.7261766011173,567.8252993069439,0,-2000.0000000046612,-162.21106556374534,315.62524759921916,0,-1000.0000000023306,748.0578847971505,527.2051617649563,2236.0679775050007,8.62068965517244,74670.60975467434,519875.64663719694,2000000.0000093223,-1999999.9999986643,63701764.836228095,787296524.8513387,4000000000.0173087,-3000000000.010317,0.10300000000000153,7167,7426
1,510.59325871315434,1.3859999999999992,3,0.8259649638578764,377,742.3218880791696,0.1647265175735294,1.7461817868720206,5.81953769817878,-4.71238898038469,40.11041072564193,1994.8676293441365,6038.206644045343,-6085.789747322268,426.2634546735193,421.7321424790859,130,-784.0106014182213,694.3558193981917,0,-4999.999999993889,111.33309813457339,519.725412282714,1999.9999999975557,-1999.9999999975557,952.3341443541391,686.2092852910058,5099.019513586553,5.076142131979717,81299.10219419446,690253.727310135,3099019.5135852103,-2862951.536088225,61727758.16376112,1101208246.5359607,4236067977.491364,-5961971049.68733,0.08200000000000074,7430,7806
1,431.43616428461024,1.408999999999999,0,0.8940615270170797,288,98.5625051433051,0.038633903985358126,0.7224943596749523,3.141592653589793,-1.5707963267948966,-8.293524850674826,651.1346137573789,1570.7963267985574,-1570.7963267985574,369.0867300179523,385.7304758506903,111,1034.1343898456564,887.5443272913743,4000.0000000093223,-99.99999999998437,277.7199074074046,437.9645841576671,2000.0000000046612,0.0,1182.4686704183662,852.1292387707039,4000.0000000093223,3.861003861003856,74827.0939842854,894061.2992371715,3162277.660183119,-2999999.999992667,70946805.40736182,1478715078.2763321,6162277660.190148,-5585786437.645505,0.14499999999999957,7810,8097
4,114.82842712474618,0.7439999999999998,0,0.9666988148545943,129,3.141592653589793,0.004035750809257042,0.3838911671583656,1.5707963267948966,-1.5707963267948966,-16.327868795096492,228.5383790961423,785.3981633964884,-1570.7963267985574,411.65897043186516,111.00450441310929,104,353.2471834797675,278.3137477861513,1000.0000000023306,0.0,-0.6459948320355818,106.48263644669909,499.99999999938893,-999.9999999987779,365.39123378545963,282.7259708724647,1414.2135623713666,0.0,69211.41843073141,266127.5895092231,1214213.5623698428,-500000.0000005542,63227676.49445865,288604829.3688647,1250000000.0074074,-500000000.00205255,0.10699999999999932,8098,8226
3,107.37163089161123,0.34299999999999997,7,0.8859531249899627,96,-23.70384195652761,-0.022200549940210125,0.7645294844770639,1.5707963267948966,-1.5707963267948966,30.86006820473392,623.6260493071071,1570.7963267985574,-1570.7963267985574,400.58351129231954,95.12623192369179,50,501.5149576730759,412.6629117793252,2000.0000000046612,0.0,-137.15277777775097,298.7852558134172,0,-1000.0000000023306,606.6116225112754,399.82246693636654,2000.0000000046612,0.0,79684.48883071275,365046.6961395868,1500000.0000087682,-707106.7811860753,54324694.66486962,510646254.4723853,1750000000.014012,-1495093791.4208689,0.0030000000000001137,8227,8324
1,121.2579804089839,0.375,3,0.8821077996598364,109,282.4595447138726,0.2521285269300836,1.1518093303663068,3.141592653589793,-1.5707963267948966,-39.2116531278407,851.5344690086201,1570.7963267985574,-3141.592653597115,382.8534091404719,106.96261028976434,44,-393.8378644800868,344.88577269303045,0,-1000.0000000023306,129.45189367201087,290.1380393587587,1000.0000000023306,0.0,495.40974549230174,358.04916990517523,1414.2135623713666,71.42857142857477,69564.7761511702,261444.77215740285,914213.5623699721,-499999.99999966606,59924537.9450666,319649277.0384195,1164213562.3679383,-749999999.9990265,0.009000000000000341,8325,8433
4,125.41421356237309,0.4450000000000003,4,0.9810417530168434,136,365.21014597981275,0.3767980307698403,1.4361874287534981,5.497787143782138,-4.71238898038469,83.45680484148676,1120.056850912151,3141.592653597115,-4712.388980378931,400.4418850836783,123.03657992645927,101,-540.1698179272025,391.21969815897114,0,-2000.0000000046612,-13.480392156855704,99.48814698983831,0,-999.9999999987779,551.4965834751347,388.0553072079702,2000.0000000046612,0.0,107648.06066461962,396827.1617145834,1500000.0000087682,-1000000.0000011084,112671749.69025153,543185064.7800664,2000000000.0104308,-1250000000.0034106,0.0010000000000012221,8434,8569
3,61.19348530673793,0.23000000000000043,5,0.8185498651432009,57,-23.382091402130968,0.07983914973749817,3.0804795612035356,4.7123889803847065,-4.71238898038469,126.6391510816926,2336.220609481872,4712.388980395673,-4712.388980395673,393.2527809196981,50.08991914547278,12,-212.1832358673491,341.71197054448174,0,-1000.0000000023306,-332.03842940674315,321.9975006020911,0,-1000.0000000023306,512.0514915031887,331.2177653659996,1000.0000000023306,0.0,84896.61274129359,274113.14107003773,799999.9999977604,-249999.99999983303,42056481.21732143,343803107.15547174,888888888.8865509,-749999999.996806,0.03900000000000148,8570,8628
3,247.32228409915558,0.3290000000000006,4,0.8915194644326089,187,33.28100263088301,0.3353563491872097,3.2054460616029052,5.961434752782944,-4.71238898038469,60.76363251564191,3331.8303117251876,5961.434752775658,-5819.537698192343,396.95657807640504,220.49263026232873,46,-799.1978609625755,535.3194214570373,0,-2999.999999996334,-423.4997029114992,479.99326700010005,0,-2000.0000000046612,1014.6944876872308,550.590735571846,3605.551275459583,0.0,80437.90792827979,654044.6259920816,2898444.4942691014,-2828427.1247392767,63301101.19999788,987998943.6459595,3103908098.0462165,-5156854249.472586,0.0030000000000001137,8629,8817
3,139.09955295296908,0.23700000000000188,3,0.9221118776848944,115,313.2319701409773,0.17671288294649676,0.7716033445054666,3.141592653589793,-1.5707963267948966,26.64894380864816,937.2288078760541,3141.5926535859535,-3141.5926535859535,156.47250022300847,128.2653499585917,62,-791.7391304346003,481.96540838749627,0,-2000.0000000046612,142.46376811588766,316.95670630036545,1000.0000000023306,0.0,873.912354078284,462.7428966241171,2000.0000000046612,0.0,87063.52309857379,538795.3305574236,1500000.0000087682,-1000000.0000046612,84097305.1927498,768645580.3743273,1957106781.1788516,-2499999999.989946,0.0010000000000012221,8818,8934
1,92.53995305855878,0.13799999999999812,7,0.8650991014426233,74,-34.841313298696065,-0.04273064048634976,0.8576441590767501,1.5707963267948966,-1.5707963267948966,13.813755384196199,747.5427869737086,1570.7963267985574,-1570.7963267985574,72.97370838716292,80.05623023850174,17,649.5870870870947,500.6486691929457,2000.0000000046612,0.0,-319.17144417155123,395.4371875024252,0,-1000.0000000023306,847.6205259715198,455.03918250880105,2236.0679775050007,90.90909090909724,74505.35750528607,587798.8028472303,1999999.9999951115,-1236067.9775047123,27982461.054890215,935429168.3283585,3118033988.740449,-2999999999.999659,0.0009999999999976694,8935,9008
